000 | 00401197 | 83C4 10                  | add esp,10                              | eax: 1-> 1 ebx: 263000-> 263000 ecx: 34FE97D1-> 3 |                                   |
001 | 0040119A | 8945 F8                  | mov dword ptr ss:[ebp-8],eax            |                                                   | 0019FF10: 19FF28-> 1              |
002 | 0040119D | C745 FC 00000000         | mov dword ptr ss:[ebp-4],0              |                                                   | 0019FF14: 19FF24-> 0              | stdio.h:1287, [ebp-04]:&"444"
003 | 004011A4 | 8B45 F8                  | mov eax,dword ptr ss:[ebp-8]            |                                                   | 0019FF10: 1-> 1                   | stdio.h:1288
004 | 004011A7 | 8BE5                     | mov esp,ebp                             | esp: 19FF10-> 19FF18                              |                                   | stdio.h:1289
005 | 004011A9 | 5D                       | pop ebp                                 | esp: 19FF18-> 19FF1C ebp: 19FF18-> 19FF28         | 0019FF18: 19FF28-> 19FF28         |
006 | 004011AA | C3                       | ret                                     | esp: 19FF1C-> 19FF20                              | 0019FF1C: 5B1BCB-> 5B1BCB         |
007 | 005B1BCB | 83C4 08                  | add esp,8                               | esp: 19FF20-> 19FF28 eflags: 202-> 206            |                                   |
008 | 005B1BCE | E9 97C60800              | jmp sample.vmp.63E26A                   |                                                   |                                   |
009 | 0063E26A | 68 FC204000              | push sample.vmp.4020FC                  | esp: 19FF28-> 19FF24                              | 0019FF24: 19FF70-> 4020FC         | 4020FC:"123"
00A | 0063E26F | E9 E8B4F6FF              | jmp sample.vmp.5A975C                   |                                                   |                                   |
00B | 005A975C | 68 20304000              | push <sample.vmp.char *buf>             | esp: 19FF24-> 19FF20                              | 0019FF20: 4020FC-> 403020         | 403020:"444"
00C | 005A9761 | E9 F3C0FFFF              | jmp sample.vmp.5A5859                   |                                                   |                                   |
00D | 005A5859 | E8 A2B7E5FF              | call <sample.vmp.int __cdecl my_strcmp( | esp: 19FF20-> 19FF1C                              | 0019FF1C: 403020-> 5A585E         |
00E | 00401000 | 55                       | push ebp                                | esp: 19FF1C-> 19FF18                              | 0019FF18: 5A585E-> 19FF28         | main.cpp:10
00F | 00401001 | 8BEC                     | mov ebp,esp                             | ebp: 19FF28-> 19FF18                              |                                   |
010 | 00401003 | 8B45 08                  | mov eax,dword ptr ss:[ebp+8]            | eax: 1-> 403020                                   | 0019FF20: 403020-> 403020         | main.cpp:11, [ebp+08]:"%s"
011 | 00401006 | 0FBE08                   | movsx ecx,byte ptr ds:[eax]             | ecx: 34FE97D1-> 34                                | 00403020: 343434-> 343434         | ecx:&"444", eax:&"\n\n"
012 | 00401009 | 85C9                     | test ecx,ecx                            | eflags: 206-> 202                                 |                                   | ecx:&"444"
013 | 0040100B | 74 24                    | je sample.vmp.401031                    |                                                   |                                   |
014 | 0040100D | 8B55 08                  | mov edx,dword ptr ss:[ebp+8]            | edx: 1-> 403020                                   | 0019FF20: 403020-> 403020         | [ebp+08]:"%s"
015 | 00401010 | 0FBE02                   | movsx eax,byte ptr ds:[edx]             | eax: 403020-> 34                                  | 00403020: 343434-> 343434         | eax:&"\n\n", edx:"%s"
016 | 00401013 | 8B4D 0C                  | mov ecx,dword ptr ss:[ebp+C]            | ecx: 34-> 4020FC                                  | 0019FF24: 4020FC-> 4020FC         | [ebp+0C]:"444"
017 | 00401016 | 0FBE11                   | movsx edx,byte ptr ds:[ecx]             | edx: 403020-> 31                                  | 004020FC: 333231-> 333231         | edx:"%s", ecx:&"444"
018 | 00401019 | 3BC2                     | cmp eax,edx                             | eflags: 202-> 206                                 |                                   | eax:&"\n\n", edx:"%s"
019 | 0040101B | 75 14                    | jne sample.vmp.401031                   |                                                   |                                   |
01A | 00401031 | 8B55 08                  | mov edx,dword ptr ss:[ebp+8]            | edx: 31-> 403020                                  | 0019FF20: 403020-> 403020         | main.cpp:15, [ebp+08]:"%s"
01B | 00401034 | 0FB602                   | movzx eax,byte ptr ds:[edx]             |                                                   | 00403020: 343434-> 343434         | eax:&"\n\n", edx:"%s"
01C | 00401037 | 8B4D 0C                  | mov ecx,dword ptr ss:[ebp+C]            |                                                   | 0019FF24: 4020FC-> 4020FC         | [ebp+0C]:"444"
01D | 0040103A | 0FB611                   | movzx edx,byte ptr ds:[ecx]             | edx: 403020-> 31                                  | 004020FC: 333231-> 333231         | edx:"%s", ecx:&"444"
01E | 0040103D | 2BC2                     | sub eax,edx                             | eax: 34-> 3                                       |                                   | eax:&"\n\n", edx:"%s"
